epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9235,3.36844,5.8784,3.58229,0.03365,0.62536,0.10162,0.05287,3.30093,5.95253,3.27245,0.0003,0.0003,0.0003
2,56.4896,3.11001,4.85718,3.21573,0.03432,0.63795,0.16431,0.08582,3.33049,5.82938,3.44087,0.000613862,0.000613862,0.000613862
3,73.1656,3.08722,4.32006,3.23516,0.03526,0.65537,0.15404,0.07094,3.44869,5.63671,3.61559,0.000921388,0.000921388,0.000921388
4,90.8308,3.28962,4.25406,3.37421,0.10566,0.52953,0.20938,0.09381,3.46854,5.25339,3.78998,0.00122258,0.00122258,0.00122258
5,109.879,3.14392,4.09525,3.24529,0.35139,0.15489,0.16488,0.06865,3.94796,5.51653,4.10776,0.00151743,0.00151743,0.00151743
6,128.873,3.16725,3.97337,3.20956,0.37292,0.31605,0.25447,0.11451,3.62134,5.0854,3.89245,0.00180595,0.00180595,0.00180595
7,145.33,3.18271,3.85531,3.25167,0.31471,0.32817,0.23319,0.09659,3.90194,5.26724,4.01016,0.0018812,0.0018812,0.0018812
8,164.691,3.16005,3.83413,3.2251,0.3422,0.3727,0.25768,0.10998,3.59839,5.04393,3.78139,0.0018614,0.0018614,0.0018614
9,181.927,3.17104,3.84096,3.2464,0.39376,0.42594,0.30483,0.13026,3.60681,5.13704,3.87599,0.0018416,0.0018416,0.0018416
10,198.988,3.16112,3.8173,3.24841,0.29677,0.33204,0.20231,0.07614,3.9455,6.11267,4.09925,0.0018218,0.0018218,0.0018218
11,217.787,3.11269,3.72086,3.20169,0.35618,0.31384,0.2254,0.09007,3.81133,5.9529,3.89799,0.001802,0.001802,0.001802
12,237.742,3.11616,3.78243,3.23289,0.34816,0.41433,0.28472,0.12817,3.7598,4.974,3.91289,0.0017822,0.0017822,0.0017822
13,254.212,3.03305,3.62924,3.18084,0.42527,0.40852,0.33534,0.15127,3.4827,4.64141,3.61407,0.0017624,0.0017624,0.0017624
14,270.735,3.05686,3.56593,3.19935,0.37142,0.37524,0.26981,0.12431,3.54938,6.16596,3.66096,0.0017426,0.0017426,0.0017426
15,287.216,3.07721,3.5196,3.19291,0.40807,0.4182,0.32826,0.15286,3.52964,4.61519,3.61518,0.0017228,0.0017228,0.0017228
16,305.212,3.06725,3.59713,3.19986,0.39441,0.44821,0.30345,0.14004,3.42802,4.87908,3.61288,0.001703,0.001703,0.001703
17,322.024,3.00633,3.48567,3.1603,0.39291,0.38595,0.30416,0.13233,3.65278,4.56906,3.68989,0.0016832,0.0016832,0.0016832
18,342.503,3.11755,3.52889,3.19031,0.36033,0.32623,0.25464,0.11728,3.59237,6.10355,3.70815,0.0016634,0.0016634,0.0016634
19,359.915,3.04204,3.45297,3.15543,0.34079,0.37076,0.25434,0.11466,3.71282,5.63322,3.75461,0.0016436,0.0016436,0.0016436
20,378.915,2.98765,3.42861,3.14766,0.46945,0.40658,0.34705,0.15647,3.5631,4.51366,3.6493,0.0016238,0.0016238,0.0016238
21,395.558,2.95002,3.44838,3.1249,0.45988,0.44821,0.38074,0.17743,3.4332,4.1664,3.54562,0.001604,0.001604,0.001604
22,412.422,2.86147,3.2522,3.11183,0.44463,0.50376,0.42738,0.19877,3.40066,4.00218,3.53739,0.0015842,0.0015842,0.0015842
23,430.687,2.92109,3.31444,3.14275,0.47037,0.40561,0.3711,0.17984,3.3221,3.91324,3.52203,0.0015644,0.0015644,0.0015644
24,447.322,2.86047,3.31351,3.06653,0.46794,0.42824,0.35242,0.15984,3.43886,4.00097,3.60067,0.0015446,0.0015446,0.0015446
25,465.502,2.89543,3.30788,3.09674,0.47987,0.39593,0.36248,0.16761,3.46955,3.99929,3.5976,0.0015248,0.0015248,0.0015248
26,482.851,2.87983,3.23472,3.06754,0.50543,0.41239,0.38765,0.19042,3.42315,3.76552,3.53461,0.001505,0.001505,0.001505
27,500.486,2.93436,3.26274,3.10385,0.48812,0.40249,0.37666,0.1763,3.43084,3.88956,3.57494,0.0014852,0.0014852,0.0014852
28,520.183,2.94181,3.20647,3.06887,0.50809,0.43369,0.39921,0.1932,3.32052,3.72865,3.44497,0.0014654,0.0014654,0.0014654
29,540.866,2.98419,3.21826,3.10989,0.46105,0.46375,0.38298,0.18305,3.31836,3.95979,3.41813,0.0014456,0.0014456,0.0014456
30,558.961,2.887,3.19612,3.07293,0.49186,0.46563,0.41984,0.20396,3.28726,3.68037,3.38809,0.0014258,0.0014258,0.0014258
31,580.683,2.87877,3.13291,3.04005,0.47178,0.44046,0.39638,0.18958,3.36758,3.71452,3.45878,0.001406,0.001406,0.001406
32,598.11,2.87254,3.12316,3.03259,0.50363,0.43709,0.42389,0.21149,3.28682,3.72465,3.43287,0.0013862,0.0013862,0.0013862
33,619.05,2.82441,3.07252,2.98506,0.52602,0.44724,0.43429,0.22012,3.27806,3.55026,3.37655,0.0013664,0.0013664,0.0013664
34,635.899,2.81418,3.05385,2.98699,0.53804,0.44724,0.43033,0.21483,3.26886,3.57745,3.405,0.0013466,0.0013466,0.0013466
35,652.089,2.83184,3.04452,2.99705,0.52004,0.41745,0.40659,0.19562,3.39981,3.86352,3.4962,0.0013268,0.0013268,0.0013268
36,669.349,2.76322,3.0031,3.00151,0.52125,0.41723,0.41812,0.20488,3.29745,3.75537,3.44623,0.001307,0.001307,0.001307
37,690.475,2.78255,2.99853,2.98811,0.49402,0.43078,0.41727,0.19589,3.34449,3.70613,3.43503,0.0012872,0.0012872,0.0012872
38,709.924,2.82509,3.03292,3.01404,0.50713,0.47338,0.44334,0.2163,3.26909,3.61555,3.41593,0.0012674,0.0012674,0.0012674
39,726.88,2.77848,2.96009,2.96306,0.55877,0.45983,0.44901,0.21447,3.35291,3.59803,3.44306,0.0012476,0.0012476,0.0012476
40,745.646,2.74616,2.91312,2.95966,0.50069,0.485,0.42931,0.20924,3.34921,3.61826,3.43277,0.0012278,0.0012278,0.0012278
41,762.572,2.76488,3.03755,2.98756,0.51973,0.49028,0.43747,0.22042,3.25379,3.48691,3.45591,0.001208,0.001208,0.001208
42,781.682,2.79066,2.97815,3.00952,0.5086,0.47492,0.44115,0.21365,3.27719,3.45035,3.43423,0.0011882,0.0011882,0.0011882
43,799.857,2.79112,2.93096,2.98189,0.4953,0.48887,0.43897,0.2176,3.2427,3.51594,3.35812,0.0011684,0.0011684,0.0011684
44,817.921,2.77863,2.98211,2.98295,0.54868,0.48596,0.4603,0.22989,3.26733,3.39805,3.4083,0.0011486,0.0011486,0.0011486
45,834.929,2.75981,2.92388,2.96353,0.49608,0.45934,0.43393,0.21042,3.36276,3.55431,3.48079,0.0011288,0.0011288,0.0011288
46,852.178,2.71283,2.85135,2.91747,0.49614,0.45305,0.39955,0.19239,3.36108,3.77998,3.49658,0.001109,0.001109,0.001109
47,869.391,2.72602,2.8003,2.93203,0.52709,0.51035,0.47028,0.23619,3.27178,3.48659,3.40543,0.0010892,0.0010892,0.0010892
48,887.134,2.76755,2.88062,2.96768,0.54255,0.47047,0.45209,0.22534,3.24138,3.46735,3.40886,0.0010694,0.0010694,0.0010694
49,903.992,2.70473,2.83544,2.90381,0.55957,0.45111,0.44518,0.22062,3.22632,3.51133,3.41314,0.0010496,0.0010496,0.0010496
50,923.134,2.68308,2.79856,2.90698,0.56426,0.47047,0.47105,0.24306,3.21577,3.43544,3.37969,0.0010298,0.0010298,0.0010298
51,940.444,2.65581,2.80735,2.91794,0.52116,0.47144,0.46099,0.22613,3.29448,3.55614,3.40658,0.00101,0.00101,0.00101
52,958.6,2.71234,2.85964,2.91345,0.57932,0.43853,0.45352,0.22116,3.29374,3.51516,3.44373,0.0009902,0.0009902,0.0009902
53,975.311,2.61662,2.7346,2.90201,0.58679,0.42691,0.45288,0.21845,3.36073,3.56339,3.47535,0.0009704,0.0009704,0.0009704
54,994.506,2.64577,2.75763,2.88847,0.56064,0.47047,0.46764,0.2351,3.26056,3.42508,3.40986,0.0009506,0.0009506,0.0009506
55,1011.22,2.63178,2.73627,2.89217,0.57444,0.49918,0.48238,0.23972,3.25631,3.37115,3.39737,0.0009308,0.0009308,0.0009308
56,1028.24,2.69192,2.78726,2.92194,0.53061,0.50557,0.45722,0.23024,3.23319,3.41402,3.38278,0.000911,0.000911,0.000911
57,1046.39,2.65968,2.75374,2.90985,0.5067,0.46735,0.41866,0.21111,3.2769,3.65059,3.40431,0.0008912,0.0008912,0.0008912
58,1063.56,2.57347,2.65944,2.84858,0.55855,0.48872,0.47088,0.23083,3.29473,3.4326,3.414,0.0008714,0.0008714,0.0008714
59,1080.35,2.63952,2.7013,2.88329,0.55654,0.46951,0.46907,0.22942,3.33611,3.43015,3.47136,0.0008516,0.0008516,0.0008516
60,1097.53,2.55547,2.64348,2.81277,0.56502,0.4816,0.46828,0.22738,3.34558,3.39568,3.48467,0.0008318,0.0008318,0.0008318
61,1114.92,2.61223,2.69105,2.86731,0.54191,0.5119,0.4922,0.24178,3.29252,3.34995,3.41443,0.000812,0.000812,0.000812
62,1132.41,2.59136,2.62798,2.84973,0.50249,0.48403,0.44859,0.21516,3.4022,3.6296,3.48751,0.0007922,0.0007922,0.0007922
63,1150.37,2.58334,2.61459,2.82812,0.53166,0.48209,0.44962,0.22279,3.3215,3.50981,3.44746,0.0007724,0.0007724,0.0007724
64,1168.56,2.57695,2.58541,2.81983,0.56416,0.48618,0.45675,0.22367,3.28963,3.4927,3.40897,0.0007526,0.0007526,0.0007526
65,1186.72,2.56032,2.54484,2.78788,0.55734,0.49486,0.47886,0.23377,3.29924,3.51493,3.42385,0.0007328,0.0007328,0.0007328
66,1203.39,2.59961,2.64534,2.86243,0.53857,0.49661,0.47089,0.23374,3.31342,3.47651,3.43679,0.000713,0.000713,0.000713
67,1220.13,2.51605,2.55283,2.81503,0.54972,0.48015,0.46129,0.23268,3.29182,3.47504,3.45321,0.0006932,0.0006932,0.0006932
68,1237.26,2.50409,2.51494,2.7445,0.55912,0.47435,0.47304,0.24081,3.24708,3.43135,3.38958,0.0006734,0.0006734,0.0006734
69,1254.23,2.52903,2.55963,2.80047,0.53699,0.49855,0.48288,0.24202,3.24718,3.49137,3.41033,0.0006536,0.0006536,0.0006536
70,1273.93,2.49783,2.58255,2.81509,0.59504,0.47822,0.48806,0.24475,3.2193,3.39836,3.40366,0.0006338,0.0006338,0.0006338
71,1291.54,2.54621,2.5717,2.81477,0.5926,0.50339,0.50288,0.25113,3.23155,3.33462,3.38868,0.000614,0.000614,0.000614
72,1309.79,2.51288,2.49642,2.76717,0.56354,0.46121,0.47567,0.23289,3.24037,3.4896,3.38869,0.0005942,0.0005942,0.0005942
73,1328.38,2.44973,2.51385,2.76855,0.5362,0.51593,0.47891,0.23828,3.25198,3.38169,3.37575,0.0005744,0.0005744,0.0005744
74,1346.75,2.42693,2.47943,2.74278,0.53908,0.50436,0.49399,0.24521,3.25317,3.33,3.39553,0.0005546,0.0005546,0.0005546
75,1363.06,2.4151,2.41139,2.74902,0.56456,0.52662,0.49615,0.24112,3.25279,3.3186,3.39338,0.0005348,0.0005348,0.0005348
76,1380.55,2.38019,2.38767,2.71876,0.55439,0.50629,0.49559,0.24004,3.25681,3.33517,3.40911,0.000515,0.000515,0.000515
77,1398.65,2.46491,2.39606,2.73644,0.56894,0.51113,0.48699,0.24542,3.2585,3.37736,3.41475,0.0004952,0.0004952,0.0004952
78,1416.34,2.47777,2.43376,2.75982,0.5744,0.49386,0.49317,0.24147,3.26733,3.36039,3.41276,0.0004754,0.0004754,0.0004754
79,1435.69,2.45638,2.40659,2.73559,0.57252,0.5121,0.50338,0.24612,3.27118,3.32349,3.40724,0.0004556,0.0004556,0.0004556
80,1454.77,2.42934,2.42543,2.73486,0.58314,0.50917,0.49212,0.24974,3.24326,3.31533,3.3854,0.0004358,0.0004358,0.0004358
81,1473.21,2.3958,2.3838,2.72589,0.58981,0.515,0.50343,0.25591,3.19855,3.22069,3.36127,0.000416,0.000416,0.000416
82,1490.78,2.33466,2.3594,2.69986,0.59675,0.49996,0.50408,0.26016,3.17494,3.23806,3.34795,0.0003962,0.0003962,0.0003962
83,1507.99,2.38045,2.32792,2.69688,0.57176,0.50149,0.50047,0.25149,3.22396,3.30829,3.38708,0.0003764,0.0003764,0.0003764
84,1525.42,2.44343,2.36974,2.72467,0.56218,0.5121,0.49582,0.24668,3.2522,3.29123,3.40523,0.0003566,0.0003566,0.0003566
85,1543.05,2.4112,2.33082,2.71658,0.58799,0.47919,0.48229,0.23685,3.2816,3.377,3.41874,0.0003368,0.0003368,0.0003368
86,1559.9,2.33204,2.25022,2.6726,0.54347,0.51307,0.4787,0.23864,3.27078,3.38728,3.39276,0.000317,0.000317,0.000317
87,1576.39,2.38142,2.34603,2.69863,0.55783,0.49758,0.48431,0.24684,3.27433,3.33055,3.39578,0.0002972,0.0002972,0.0002972
88,1594.06,2.31359,2.25637,2.66592,0.60186,0.47822,0.50124,0.25119,3.2495,3.32511,3.39861,0.0002774,0.0002774,0.0002774
89,1611.01,2.33445,2.28683,2.67737,0.58643,0.49177,0.49561,0.25154,3.24771,3.26949,3.39153,0.0002576,0.0002576,0.0002576
90,1628.94,2.40983,2.34342,2.72487,0.54768,0.51458,0.49093,0.2513,3.25788,3.29702,3.39536,0.0002378,0.0002378,0.0002378
91,1671.54,2.54937,2.75743,2.88213,0.5859,0.49468,0.49479,0.24816,3.28345,3.35345,3.42135,0.000218,0.000218,0.000218
92,1687.95,2.36831,2.4571,2.7508,0.55113,0.46467,0.46993,0.22776,3.30842,3.55113,3.45624,0.0001982,0.0001982,0.0001982
93,1704.14,2.4137,2.365,2.75627,0.57889,0.485,0.48915,0.24388,3.25511,3.3557,3.43606,0.0001784,0.0001784,0.0001784
94,1721.74,2.37847,2.27555,2.7245,0.59572,0.48984,0.49241,0.24891,3.21829,3.28898,3.39297,0.0001586,0.0001586,0.0001586
95,1739.09,2.30539,2.2367,2.68638,0.5927,0.48015,0.49302,0.24964,3.19972,3.32362,3.35146,0.0001388,0.0001388,0.0001388
96,1756.21,2.28464,2.20624,2.6695,0.58681,0.46195,0.49319,0.2466,3.20852,3.3535,3.35441,0.000119,0.000119,0.000119
97,1772.48,2.30073,2.14358,2.63551,0.57458,0.47722,0.493,0.24961,3.21243,3.34737,3.37155,9.92e-05,9.92e-05,9.92e-05
98,1788.61,2.2411,2.21656,2.64928,0.5574,0.50436,0.48719,0.24588,3.24585,3.34416,3.39815,7.94e-05,7.94e-05,7.94e-05
99,1805.12,2.26661,2.13108,2.66408,0.56925,0.49661,0.48068,0.24222,3.25768,3.35876,3.40347,5.96e-05,5.96e-05,5.96e-05
100,1822.2,2.28238,2.18753,2.70179,0.55055,0.50242,0.48517,0.24302,3.25663,3.36276,3.40355,3.98e-05,3.98e-05,3.98e-05
