epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.31877,3.56966,8.22669,4.70118,0.00667,0.66667,0.03205,0.00803,3.37359,10.0846,5.58549,0,0,0
2,16.979,4.03794,7.92183,4.63272,0.00667,0.66667,0.04299,0.01403,3.13008,9.5098,5.3183,1.802e-05,1.802e-05,1.802e-05
3,25.4234,2.84997,7.88028,3.58252,0.01538,0.66667,0.34286,0.20367,2.90607,8.53071,5.23115,3.208e-05,3.208e-05,3.208e-05
4,34.837,2.23498,6.75827,3.31003,0.13374,0.33333,0.35222,0.22179,2.59332,7.85878,4.98138,4.218e-05,4.218e-05,4.218e-05
5,47.2301,2.02999,6.22694,2.91777,0.3077,0.33333,0.183,0.11103,2.73499,8.1926,5.071,4.832e-05,4.832e-05,4.832e-05
6,59.3326,2.14387,6.00836,3.06175,0.60696,0.33333,0.36361,0.21152,3.38655,8.98517,5.24813,5.05e-05,5.05e-05,5.05e-05
7,67.2261,1.70015,5.0528,2.67263,0.9,0.33333,0.3845,0.21269,3.69902,8.89129,5.12651,4.872e-05,4.872e-05,4.872e-05
8,75.9823,1.94608,5.64307,3.03566,0.93273,0.33333,0.36962,0.20982,3.48955,9.63482,5.26671,4.298e-05,4.298e-05,4.298e-05
9,87.1149,1.79394,5.66106,3.04846,0.93273,0.33333,0.36962,0.20982,3.48955,9.63482,5.26671,3.328e-05,3.328e-05,3.328e-05
10,96.6116,1.78945,4.97468,2.6097,0.93418,0.33333,0.3616,0.20955,3.57987,9.46,5.22296,1.962e-05,1.962e-05,1.962e-05
