epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,715.606,3.64718,5.0989,4.03777,0.01203,0.22362,0.00752,0.00309,5.96639,inf,30.5796,0.00062,0.00062,0.00062
2,1657.45,3.57149,4.26398,3.87987,0.00032,0.00194,0.00016,9e-05,nan,nan,nan,0.00121842,0.00121842,0.00121842
3,2381.44,3.6531,4.26928,3.94465,0.00157,0.00387,0.00079,0.00032,nan,nan,nan,0.0017746,0.0017746,0.0017746
4,3070.64,3.65676,4.14576,3.92111,0.09879,0.0213,0.00887,0.00312,nan,nan,nan,0.001802,0.001802,0.001802
5,3311.56,3.60878,4.14576,3.85084,0.19196,0.08616,0.05574,0.02314,nan,nan,nan,0.001736,0.001736,0.001736
6,3652.41,3.57148,4.01511,3.83224,0.18555,0.14327,0.07653,0.0314,nan,nan,nan,0.00167,0.00167,0.00167
7,3980.53,3.38615,3.84214,3.6719,0.30843,0.33398,0.20253,0.08445,4.10823,6.20472,4.49944,0.001604,0.001604,0.001604
8,4222.26,3.3293,3.77746,3.63809,0.41076,0.37657,0.2962,0.12918,3.64469,5.3091,4.17133,0.001538,0.001538,0.001538
9,4471.25,3.30953,3.77747,3.68872,0.40083,0.40465,0.32082,0.14582,3.6288,4.28999,4.15125,0.001472,0.001472,0.001472
10,4726.05,3.31497,3.67232,3.65094,0.40259,0.39593,0.31055,0.13967,3.75279,5.2416,4.21249,0.001406,0.001406,0.001406
11,4948.45,3.25806,3.7054,3.60784,0.44283,0.42982,0.34206,0.15897,3.49931,4.35975,3.99702,0.00134,0.00134,0.00134
12,5190.64,3.20369,3.51293,3.56523,0.47787,0.43272,0.36845,0.17116,3.64609,4.19492,4.10614,0.001274,0.001274,0.001274
13,5421.53,3.13649,3.5065,3.48932,0.43154,0.42498,0.34722,0.16762,3.43855,4.63742,3.92153,0.001208,0.001208,0.001208
14,5674.24,3.11354,3.47438,3.50974,0.45665,0.4395,0.39261,0.19202,3.35368,3.9093,3.85249,0.001142,0.001142,0.001142
15,5922.48,3.13318,3.49697,3.50646,0.49433,0.43756,0.3798,0.18116,3.40615,3.92611,3.8832,0.001076,0.001076,0.001076
16,6170.08,3.09046,3.39374,3.45742,0.47278,0.48209,0.39984,0.19114,nan,nan,nan,0.00101,0.00101,0.00101
17,6411.33,3.10987,3.34726,3.47894,0.50492,0.43562,0.40495,0.19737,3.38315,4.1624,3.89292,0.000944,0.000944,0.000944
18,6675.54,3.06988,3.3214,3.44876,0.49268,0.4851,0.42842,0.21349,3.29503,3.52349,3.79837,0.000878,0.000878,0.000878
19,6946.29,3.02966,3.25097,3.41709,0.47404,0.46176,0.39936,0.1923,3.36637,3.86318,3.81328,0.000812,0.000812,0.000812
20,7205.12,3.02802,3.19974,3.41929,0.48016,0.4637,0.42083,0.21145,3.26103,3.61827,3.7417,0.000746,0.000746,0.000746
21,7464.8,3.1911,3.66554,3.64698,0.46641,0.4395,0.37915,0.19165,3.34672,3.71126,3.80123,0.00068,0.00068,0.00068
22,7697.77,3.13543,3.46097,3.57354,0.49142,0.48403,0.42076,0.20843,3.31135,3.5572,3.77625,0.000614,0.000614,0.000614
23,7942.58,3.08289,3.26756,3.54316,0.44236,0.46613,0.38345,0.19442,3.32121,3.64371,3.76946,0.000548,0.000548,0.000548
24,8177.95,3.05187,3.3663,3.5392,0.48404,0.4666,0.41644,0.21249,3.28651,3.59606,3.72607,0.000482,0.000482,0.000482
25,8422.81,3.11066,3.30123,3.57373,0.49007,0.45111,0.40726,0.20429,3.33102,3.62968,3.77303,0.000416,0.000416,0.000416
26,8669.62,2.99312,3.15839,3.5159,0.49435,0.47725,0.43253,0.21461,3.24169,3.42627,3.71022,0.00035,0.00035,0.00035
27,8912.07,3.03024,3.18604,3.5323,0.55119,0.47725,0.47204,0.2367,3.19313,3.29879,3.67567,0.000284,0.000284,0.000284
28,9153.29,2.96538,3.05162,3.47562,0.56315,0.47672,0.46818,0.2418,3.14582,3.25237,3.65102,0.000218,0.000218,0.000218
29,9382.5,3.00767,3.12115,3.48739,0.52664,0.50619,0.48061,0.24589,3.1346,3.21985,3.63698,0.000152,0.000152,0.000152
30,9628.57,2.95739,3.0466,3.45681,0.51322,0.515,0.47215,0.24177,3.12744,3.23883,3.6371,8.6e-05,8.6e-05,8.6e-05
